Year,University,Full-time Undergrad,Full-time Graduate,Part-time Undergrad,Part-time Graduate,Province
2020,Acadia University,3200,100,260,270,Nova Scotia
2021,Acadia University,4100,180,370,350,Nova Scotia
2022,Acadia University,3550,140,295,300,Nova Scotia
2023,Acadia University,4800,220,400,390,Nova Scotia
2024,Acadia University,3700,150,320,310,Nova Scotia
2025,Acadia University,4500,200,430,400,Nova Scotia
2020,Algoma University,5300,60,410,25,Ontario
2021,Algoma University,5900,100,480,60,Ontario
2022,Algoma University,6500,90,460,40,Ontario
2023,Algoma University,5600,130,510,70,Ontario
2024,Algoma University,6200,110,490,50,Ontario
2025,Algoma University,7000,140,530,75,Ontario
2020,Athabasca University (PT only),2400,850,26000,3100,Alberta
2021,Athabasca University (PT only),3100,920,28000,3600,Alberta
2022,Athabasca University (PT only),2800,890,27000,3500,Alberta
2023,Athabasca University (PT only),3500,950,30000,4000,Alberta
2024,Athabasca University (PT only),3200,900,28500,3700,Alberta
2025,Athabasca University (PT only),4000,1000,31000,4200,Alberta
2020,Bishop's University,1900,130,230,10,Quebec
2021,Bishop's University,2600,180,340,50,Quebec
2022,Bishop's University,2400,160,290,40,Quebec
2023,Bishop's University,3000,210,360,55,Quebec
2024,Bishop's University,2700,170,320,30,Quebec
2025,Bishop's University,3200,190,370,60,Quebec
2020,Brandon University,1800,190,220,160,Manitoba
2021,Brandon University,2300,260,350,200,Manitoba
2022,Brandon University,2500,230,320,180,Manitoba
2023,Brandon University,2800,300,390,230,Manitoba
2024,Brandon University,2600,270,350,200,Manitoba
2025,Brandon University,3000,320,410,240,Manitoba
2020,Brescia University College,10,5,20,5,Ontario
2021,Brescia University College,35,10,45,12,Ontario
2022,Brescia University College,20,7,30,9,Ontario
2023,Brescia University College,40,12,55,15,Ontario
2024,Brescia University College,30,9,40,10,Ontario
2025,Brescia University College,45,15,60,18,Ontario
2020,Brock University,14000,1200,1400,150,Ontario
2021,Brock University,16000,1700,1900,250,Ontario
2022,Brock University,15500,1500,1650,220,Ontario
2023,Brock University,17000,1800,2000,270,Ontario
2024,Brock University,16000,1600,1800,240,Ontario
2025,Brock University,17500,1900,2100,280,Ontario
2020,Campion College,680,0,75,0,Saskatchewan
2021,Campion College,740,0,85,0,Saskatchewan
2022,Campion College,720,0,80,0,Saskatchewan
2023,Campion College,770,0,90,0,Saskatchewan
2024,Campion College,750,0,88,0,Saskatchewan
2025,Campion College,790,0,95,0,Saskatchewan
2020,Canadian Mennonite University,5,0,10,0,Manitoba
2021,Canadian Mennonite University,25,0,40,0,Manitoba
2022,Canadian Mennonite University,20,0,30,0,Manitoba
2023,Canadian Mennonite University,30,0,50,0,Manitoba
2024,Canadian Mennonite University,22,0,35,0,Manitoba
2025,Canadian Mennonite University,40,0,60,0,Manitoba
2020,Cape Breton University,6700,280,420,130,Nova Scotia
2021,Cape Breton University,7500,360,520,190,Nova Scotia
2022,Cape Breton University,7100,310,470,150,Nova Scotia
2023,Cape Breton University,7600,370,530,210,Nova Scotia
2024,Cape Breton University,7300,340,480,160,Nova Scotia
2025,Cape Breton University,7800,380,540,220,Nova Scotia
